Krebsart;Alter;Geschlecht;Prävalenzzeitraum;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Kehlkopf (C32);75 und älter;männlich;1;429;472;533;481;479;471;569;573;472;519;552;543;607;623;550;646
Lunge (C33-C34);0 - 44;weiblich;1;348;372;350;359;369;325;348;345;337;285;335;273;309;314;295;272
Lunge (C33-C34);0 - 44;männlich;1;471;466;473;437;431;432;410;398;309;335;314;359;283;351;285;299
Lunge (C33-C34);45 - 54;weiblich;1;1.318;1.330;1.423;1.491;1.542;1.499;1.571;1.627;1.720;1.690;1.789;1.753;1.676;1.587;1.578;1.355
Lunge (C33-C34);45 - 54;männlich;1;2.016;2.002;2.104;2.086;2.246;2.252;2.336;2.213;2.076;2.105;2.168;2.027;1.902;2.045;1.745;1.545
Lunge (C33-C34);55 - 64;weiblich;1;2.348;2.504;2.621;2.634;2.857;2.843;3.004;3.090;3.285;3.731;3.711;3.985;4.441;4.259;4.273;4.161
Lunge (C33-C34);55 - 64;männlich;1;5.952;5.673;5.674;5.440;5.661;5.194;5.418;5.241;5.431;5.774;5.701;6.013;5.990;6.043;5.799;5.485
Lunge (C33-C34);65 - 74;weiblich;1;2.641;2.728;2.588;3.141;3.150;3.453;3.599;3.789;3.653;3.964;4.170;4.578;4.508;4.879;4.870;4.873
Lunge (C33-C34);65 - 74;männlich;1;7.949;8.097;8.126;8.406;8.142;8.642;8.284;7.985;7.768;7.735;7.790;7.590;7.625;7.742;7.197;7.541
Lunge (C33-C34);75 und älter;weiblich;1;2.145;2.253;2.405;2.678;2.640;2.651;2.758;2.846;3.039;3.203;3.244;3.540;3.747;3.844;3.659;4.148
Lunge (C33-C34);75 und älter;männlich;1;4.369;4.592;4.750;4.931;5.168;5.171;5.483;5.806;5.721;5.915;6.068;6.467;6.338;6.659;6.654;6.567
Malignes Melanom der Haut (C43);0 - 44;weiblich;1;2.383;2.346;2.213;2.447;2.655;2.520;2.828;2.749;2.555;2.566;2.314;2.230;2.232;2.001;1.909;1.727
Malignes Melanom der Haut (C43);0 - 44;männlich;1;1.231;1.209;1.225;1.252;1.407;1.444;1.495;1.497;1.389;1.348;1.273;1.326;1.231;1.107;1.050;1.002
Malignes Melanom der Haut (C43);45 - 54;weiblich;1;1.388;1.224;1.352;1.368;1.661;1.735;1.844;1.966;2.120;2.085;2.058;2.072;2.230;2.083;2.064;1.867
Malignes Melanom der Haut (C43);45 - 54;männlich;1;979;918;1.050;1.129;1.294;1.390;1.389;1.597;1.614;1.668;1.630;1.629;1.601;1.594;1.554;1.497
Malignes Melanom der Haut (C43);55 - 64;weiblich;1;1.513;1.484;1.433;1.485;1.652;1.549;1.581;1.668;1.718;1.753;1.752;1.855;1.964;1.909;1.988;1.938
Malignes Melanom der Haut (C43);55 - 64;männlich;1;1.593;1.784;1.615;1.603;1.914;1.950;1.915;2.114;1.977;1.977;2.046;2.095;2.120;2.229;2.248;2.069
Malignes Melanom der Haut (C43);65 - 74;weiblich;1;1.366;1.236;1.576;1.707;2.085;1.987;2.144;2.113;2.076;2.153;2.026;2.063;1.933;2.058;2.040;1.883
Malignes Melanom der Haut (C43);65 - 74;männlich;1;1.757;2.077;2.231;2.224;3.102;3.165;3.116;3.114;3.176;3.136;3.101;2.990;2.846;2.780;2.613;2.695
Malignes Melanom der Haut (C43);75 und älter;weiblich;1;1.308;1.632;1.351;1.444;1.957;1.950;1.975;2.184;2.275;2.148;2.350;2.363;2.737;2.788;2.790;2.897
Malignes Melanom der Haut (C43);75 und älter;männlich;1;1.131;1.174;1.265;1.530;1.850;2.062;2.225;2.347;2.716;2.752;2.967;3.174;3.296;3.897;3.847;4.106
Mesotheliom (C45);0 - 44;weiblich;1;9;9;10;7;8;6;9;7;6;5;6;6;5;5;6;6
Mesotheliom (C45);0 - 44;männlich;1;13;10;13;10;9;8;6;6;5;7;7;8;5;7;7;5
Mesotheliom (C45);45 - 54;weiblich;1;13;11;17;13;11;15;14;13;15;12;12;15;15;10;11;9
